sep=,
Device,ComId,ListName,ListType,Name,Description,Value,ArrayIndex,Unit
C1,211,RamEcuInputsC1,DB_RAM_ECU,u16RadioPostSelectorRawValue,Radio Post Selector Raw Value,3,0,[custom]
C1,212,RamEcuInputsC1,DB_RAM_ECU,eNacellePostSelectorState,Nacelle Post Selector State,0,0,[custom]
C1,213,RamEcuInputsC1,DB_RAM_ECU,u16NacellePostSelectorRawValue,Nacelle Post Selector Raw Value,8,0,[custom]
C1,205,RamEcuInputsC1,DB_RAM_ECU,i32RegimeMotorAlternatorRpm,Regime motor alternator rotation per minute,2018,0,[custom]
C1,311,RamEcuInputsC1,DB_RAM_ECU,eAlternatorChargeOkState,Alternator charge ok state,0,0,[custom]
C1,313,RamEcuInputsC1,DB_RAM_ECU,u16AlternatorChargeOkValue,Alternator charge ok value,13819,0,[custom]
C1,266,RamEcuOutputsC1,DB_RAM_ECU,boBlueFireCommand,Blue Fire command,0,0,[custom]
C1,267,RamEcuOutputsC1,DB_RAM_ECU,eBlueFireValue,Blue Fire actual value,0,0,[custom]
C1,268,RamEcuOutputsC1,DB_RAM_ECU,boOrangeFlashingLightCommand,Orange Flashing Light command,0,0,[custom]
C1,269,RamEcuOutputsC1,DB_RAM_ECU,eOrangeFlashingLightValue,Orange Flashing Light actual value,0,0,[custom]
C1,272,RamEcuOutputsC1,DB_RAM_ECU,boAntiStartupCommand,Anti Startup command,1,0,[custom]
C1,273,RamEcuOutputsC1,DB_RAM_ECU,eAntiStartupValue,Anti Startup actual value,1,0,[custom]
C1,274,RamEcuOutputsC1,DB_RAM_ECU,boStopMotorCommand,Stop Motor command,0,0,[custom]
C1,275,RamEcuOutputsC1,DB_RAM_ECU,eStopMotorValue,Stop Motor actual value,0,0,[custom]
C1,276,RamEcuOutputsC1,DB_RAM_ECU,boWarmingCommand,Warming command,0,0,[custom]
C1,277,RamEcuOutputsC1,DB_RAM_ECU,eWarmingValue,Warming actual value,0,0,[custom]
C1,278,RamEcuOutputsC1,DB_RAM_ECU,boEvBypassCommand,Ev Bypass command,1,0,[custom]
C1,279,RamEcuOutputsC1,DB_RAM_ECU,eEvBypassValue,EvBypass actual value,1,0,[custom]
C1,280,RamEcuOutputsC1,DB_RAM_ECU,boSupplyPvgDeltaArmCommand,Supply Pvg Delta Arm command,0,0,[custom]
C1,281,RamEcuOutputsC1,DB_RAM_ECU,eSupplyPvgDeltaArmValue,Supply Pvg Delta Arm actual value,0,0,[custom]
C1,282,RamEcuOutputsC1,DB_RAM_ECU,boSupplyPvgArrowArmCommand,Supply Pvg Arrow Arm command,1,0,[custom]
C1,283,RamEcuOutputsC1,DB_RAM_ECU,eSupplyPvgArrowArmValue,Supply Pvg Arrow Arm actual value,1,0,[custom]
C1,284,RamEcuOutputsC1,DB_RAM_ECU,boSupplyPvgTelescopeArmCommand,Supply Pvg Telescope Arm command,0,0,[custom]
C1,285,RamEcuOutputsC1,DB_RAM_ECU,eSupplyPvgTelescopeArmValue,Supply Pvg Telescope Arm actual value,0,0,[custom]
C1,286,RamEcuOutputsC1,DB_RAM_ECU,boSupplyPvgPropEvTorCommand,Supply Pvg Prop Ev TOR command,0,0,[custom]
C1,287,RamEcuOutputsC1,DB_RAM_ECU,eSupplyPvgPropEvTorValue,Supply Pvg Prop Ev TOR actual value,0,0,[custom]
C1,294,RamEcuOutputsC1,DB_RAM_ECU,eEvPropMotorAcceleratorState,Ev Prop Motor Accelerator state,1,0,[custom]
C1,295,RamEcuOutputsC1,DB_RAM_ECU,u16EvPropMotorAcceleratorCommand,Ev Prop Motor Accelerator command,8000,0,[custom]
C1,296,RamEcuOutputsC1,DB_RAM_ECU,u16EvPropMotorAcceleratorCurrent,Ev Prop Motor Accelerator current,7980,0,[custom]
C1,297,RamEcuOutputsC1,DB_RAM_ECU,eEvPropGeneratorState,Ev Prop Generator state,0,0,[custom]
C1,298,RamEcuOutputsC1,DB_RAM_ECU,u16EvPropGeneratorCommand,Ev Prop Generator command,0,0,[custom]
C1,299,RamEcuOutputsC1,DB_RAM_ECU,u16EvPropGeneratorCurrent,Ev Pro pGenerator current,70,0,[custom]
C1,300,RamEcuOutputsC1,DB_RAM_ECU,eNoisemakerState,Noisemaker state,0,0,[custom]
C1,301,RamEcuOutputsC1,DB_RAM_ECU,boNoisemakerCommand,Noisemaker command,0,0,[custom]
C1,306,RamEcuOutputsC1,DB_RAM_ECU,eEvRotationTurretCtClockwiseState,Ev Rotation Turret Counter Clokwise state,0,0,[custom]
C1,237,RamEcuOutputsC1,DB_RAM_ECU,boEvRotTurretCtClockwiseCmdBool,Ev Rotation Turret Counter Clokwise command bool,0,0,[custom]
C1,309,RamEcuOutputsC1,DB_RAM_ECU,eEvRotationTurretClockwiseState,Ev Rotation Turret Clokwise state,0,0,[custom]
C1,238,RamEcuOutputsC1,DB_RAM_ECU,boEvRotTurretClockwiseCmdBool,Ev Rotation Turret Clokwise command bool,0,0,[custom]
C1,312,RamEcuOutputsC1,DB_RAM_ECU,eEvRotationBasketCtClockwiseState,Ev Rotation Basket Counter Clokwise state,0,0,[custom]
C1,442,RamEcuOutputsC1,DB_RAM_ECU,boEvRotationBasketCtClkWiseCmdBool,Ev Rotation Basket counter clokwise command boolean,0,0,[custom]
C1,315,RamEcuOutputsC1,DB_RAM_ECU,eEvRotationBasketClockwiseState,Ev Rotation Basket Clokwise state,0,0,[custom]
C1,443,RamEcuOutputsC1,DB_RAM_ECU,boEvRotationBasketClkWiseCmdBool,Ev Rotation Basket clowkise command boolean,0,0,[custom]
C1,318,RamEcuOutputsC1,DB_RAM_ECU,eEvUpPendularState,Ev Up Pendular state,0,0,[custom]
C1,239,RamEcuOutputsC1,DB_RAM_ECU,boEvUpPendularCommandBool,Ev Up Pendular command bool,0,0,[custom]
C1,321,RamEcuOutputsC1,DB_RAM_ECU,eEvDownPendularState,Ev Down Pendular state,0,0,[custom]
C1,240,RamEcuOutputsC1,DB_RAM_ECU,boEvDownPendularCommandBool,Ev Down Pendular command bool,0,0,[custom]
C1,324,RamEcuOutputsC1,DB_RAM_ECU,eEvUpInclinaisonBasketState,Ev Up Inclinaison Basket state,0,0,[custom]
C1,241,RamEcuOutputsC1,DB_RAM_ECU,boEvUpInclinaisonBasketCmdBool,Ev Up Inclinaison Basket command bool,0,0,[custom]
C1,327,RamEcuOutputsC1,DB_RAM_ECU,eEvDownInclinaisonBasketState,Ev Down Inclinaison Basket state,0,0,[custom]
C1,328,RamEcuOutputsC1,DB_RAM_ECU,u16EvDownInclinaisonBasketCommand,Ev Down Inclinaison Basket command,0,0,[custom]
C1,242,RamEcuOutputsC1,DB_RAM_ECU,boEvDownInclinaisonBasketCmdBool,Ev Down Inclinaison Basket command bool,0,0,[custom]
C1,329,RamEcuOutputsC1,DB_RAM_ECU,u16EvDownInclinaisonBasketCurrent,Ev Down Inclinaison Basket current,0,0,[custom]
C1,417,RamEcuOutputsC1,DB_RAM_ECU,u16PvgDeltaArmCommand,Pvg Delta Arm command,7062,0,[custom]
C1,418,RamEcuOutputsC1,DB_RAM_ECU,u16PvgDeltaArmVoltage,Pvg Delta Arm actual voltage,7040,0,[custom]
C1,517,RamEcuOutputsC1,DB_RAM_ECU,u16PvgArrowArmCommand,Pvg arrow Arm command,9897,0,[custom]
C1,518,RamEcuOutputsC1,DB_RAM_ECU,u16PvgArrowArmVoltage,Pvg arrow Arm actual voltage,9856,0,[custom]
C1,519,RamEcuOutputsC1,DB_RAM_ECU,u16PvgTelescopeArmCommand,Pvg Arm Telescope command,7060,0,[custom]
C1,520,RamEcuOutputsC1,DB_RAM_ECU,u16PvgTelescopeArmVoltage,Pvg Arm Telescope actual voltage,7055,0,[custom]
C1,229,RamEcuOutputsC1,DB_RAM_ECU,boOverloadSecurityCommand,Overload Security Command,1,0,[custom]
C1,230,RamEcuOutputsC1,DB_RAM_ECU,eOverloadSecurityValue,Overload Security Value,1,0,[custom]
C1,231,RamEcuOutputsC1,DB_RAM_ECU,boSupllyTorSensorsCommand,Suplly Tor Sensors Command,1,0,[custom]
C1,232,RamEcuOutputsC1,DB_RAM_ECU,eSupllyTorSensorsValue,Suplly Tor Sensors Value,1,0,[custom]
C1,233,RamEcuOutputsC1,DB_RAM_ECU,boSupllyAnaSensorsCommand,Suplly Ana Sensors Command,1,0,[custom]
C1,234,RamEcuOutputsC1,DB_RAM_ECU,eSupllyAnaSensorsValue,Suplly Ana Sensors Value,1,0,[custom]
C1,235,RamEcuOutputsC1,DB_RAM_ECU,boEvSyncRotationCommand,Ev Sync Rotation Command,0,0,[custom]
C1,236,RamEcuOutputsC1,DB_RAM_ECU,eEvSyncRotationValue,Ev Sync Rotation Value,0,0,[custom]
C1,271,RamEcuOutputsC1,DB_RAM_ECU,u16PvgEvTorCommand,Pvg Ev Tor command,7055,0,[custom]
C1,288,RamEcuOutputsC1,DB_RAM_ECU,u16PvgEvTorVoltage,Pvg Ev Tor actual voltage,7047,0,[custom]
C1,468,RamEcuOutputsC1,DB_RAM_ECU,boEvUpPendularActivation,Ev Up pendular activation,0,0,[custom]
C1,471,RamEcuOutputsC1,DB_RAM_ECU,boEvDownPendularActivation,Ev Down pendular activation,0,0,[custom]
C1,588,RamEcuOutputsC1,DB_RAM_ECU,boEvRotBasketCtClkWiseActivation,Ev rotation basket counter clokwise activation,0,0,[custom]
C1,589,RamEcuOutputsC1,DB_RAM_ECU,boEvRotBasketClkWiseActivation,Ev rotation basket clokwise activation,0,0,[custom]
C1,591,RamEcuOutputsC1,DB_RAM_ECU,boEvUpIncliBasketActivation,Ev Up inclinasison basket activation,0,0,[custom]
C1,590,RamEcuOutputsC1,DB_RAM_ECU,boEvDownIncliBasketActivation,Ev Down inclinasison basket activation,0,0,[custom]
C1,592,RamEcuOutputsC1,DB_RAM_ECU,boEvRotTurretClockwiseActivation,Ev rotation turret cloclwise activation,0,0,[custom]
C1,593,RamEcuOutputsC1,DB_RAM_ECU,boEvRotTurretCtClockwiseActivation,Ev rotation turret counter cloclwise activation,0,0,[custom]
C1,608,RamEcuOutputsC1,DB_RAM_ECU,eEvSelectorRotTurretValue,Ev Selector Rotation Turret State,0,0,[custom]
C1,609,RamEcuOutputsC1,DB_RAM_ECU,boEvSelectorRotTurretCmd,Ev Selector Rotation Turret command,0,0,[custom]
C1,115,RamEcuOutputsC1,DB_RAM_ECU,boReturnLowSideEvProAccMotorCmd,Return low side ev pro accelerator motor command,1,0,[custom]
C1,120,RamEcuOutputsC1,DB_RAM_ECU,eReturnLowSideEvProAccMotorValue,Return low side ev pro accelerator motor value,1,0,[custom]
C1,121,RamEcuOutputsC1,DB_RAM_ECU,boReturnLowSideEvProGeneratorCmd,Return low side ev pro generator command,1,0,[custom]
C1,123,RamEcuOutputsC1,DB_RAM_ECU,eReturnLowSideEvProGeneratorValue,Return low side ev pro generator value,1,0,[custom]
C1,635,RamEcuOutputsC1,DB_RAM_ECU,boEvUpAxleOscillantActivation,Ev Up Axle oscillant activation,0,0,[custom]
C1,636,RamEcuOutputsC1,DB_RAM_ECU,boEvDownAxleOscillantActivation,Ev Down Axle oscillant activation,0,0,[custom]
C1,637,RamEcuOutputsC1,DB_RAM_ECU,boEvUpAxleOscillantCmd,Ev Up Axle oscillant cmd,0,0,[custom]
C1,642,RamEcuOutputsC1,DB_RAM_ECU,boEvDownAxleOscillantCmd,Ev Down Axle oscillant cmd,0,0,[custom]
C1,643,RamEcuOutputsC1,DB_RAM_ECU,boEvUpAxleFixeActivation,Ev Up Axle fixe activation,0,0,[custom]
C1,644,RamEcuOutputsC1,DB_RAM_ECU,boEvDownAxleFixeActivation,Ev Down Axle fixe activation,0,0,[custom]
C1,645,RamEcuOutputsC1,DB_RAM_ECU,boEvUpAxleFixeCmd,Ev Up Axle fixe cmd,0,0,[custom]
C1,646,RamEcuOutputsC1,DB_RAM_ECU,boEvDownAxleFixeCmd,Ev Down Axle fixe cmd,0,0,[custom]
C1,333,RamGeneralC1,DB_RAM_ECU,u8LifeByte,Byte increased each cycle,239,0,[custom]
C1,334,RamGeneralC1,DB_RAM_ECU,eWatchdogState,Watchdog current state,6,0,[custom]
C1,445,RamGeneralC1,DB_RAM_ECU,eMovementNacelleMode,Movement Nacelle Mode,3,0,[custom]
C1,484,RamGeneralC1,DB_RAM_ECU,u16EcuVoltage,Ecu voltage,14125,0,[custom]
C1,416,RamGeneralC1,DB_RAM_ECU,boBypassArmDelta,Bypass Arm Delta,0,0,[custom]
C1,419,RamGeneralC1,DB_RAM_ECU,boBypassArmArrow,Bypass Arm Arrow,1,0,[custom]
C1,420,RamGeneralC1,DB_RAM_ECU,boBypassArmTelescope,Bypass Arm Telescope,0,0,[custom]
C1,437,RamGeneralC1,DB_RAM_ECU,boTestEvision,test bool evision objet,0,0,[custom]
C1,444,RamGeneralC1,DB_RAM_ECU,i16PvgTorConsigneCommand,Pvg consigne -10000 1000 to command output,0,0,[custom]
C1,330,RamGeneralC1,DB_RAM_ECU,i16PvgEvTorTurretCmd,Command Pvg Ev Tor for turret movement by joystick nacelle,-32768,0,[custom]
C1,466,RamGeneralC1,DB_RAM_ECU,boEngineOn,Engine on run phase,1,0,[custom]
C1,467,RamGeneralC1,DB_RAM_ECU,u16gMotorCmd,empty,0,0,[custom]
C1,469,RamGeneralC1,DB_RAM_ECU,u8CounterRisingEdge,empty,0,0,[custom]
C1,470,RamGeneralC1,DB_RAM_ECU,u8CounterFallingEdge,empty,0,0,[custom]
C1,594,RamGeneralC1,DB_RAM_ECU,u16LifeBitRotBasket,empty,26497,0,[custom]
C1,599,RamGeneralC1,DB_RAM_ECU,boTestElevationActivation,empty,0,0,[custom]
C1,227,RamGeneralC1,DB_RAM_ECU,boRotTurretBool,empty,0,0,[custom]
C1,310,RamGeneralC1,DB_RAM_ECU,i16ScalingJoysTurret,Scaling value of joystick turret arm -10000 0 1000,32767,0,[custom]
C1,667,RamGeneralC1,DB_RAM_ECU,i16ScalingJoysDeltaArm,Scaling value of joystick delta arm -10000 0 1000,32767,0,[custom]
C1,668,RamGeneralC1,DB_RAM_ECU,i16PvgDeltaArmConsigne,Pvg Delta Arm Consigne apply to ramp to control output,0,0,[custom]
C1,669,RamGeneralC1,DB_RAM_ECU,i16ScalingJoysArrowArm,Scaling value of joystick arrow arm -10000 0 1000,32767,0,[custom]
C1,670,RamGeneralC1,DB_RAM_ECU,i16PvgArrowArmConsigne,Pvg Arrow Arm Consigne apply to ramp to control output,10000,0,[custom]
C1,671,RamGeneralC1,DB_RAM_ECU,i16ScalingJoysTelescopeArm,Scaling value of joystick telescope arm -10000 0 1000,32767,0,[custom]
C1,672,RamGeneralC1,DB_RAM_ECU,i16PvgTelescopeArmConsigne,Pvg telescope Arm Consigne apply to ramp to control output,0,0,[custom]
C1,634,RamGeneralC1,DB_RAM_ECU,ai16PvgTorVoltageRangeValue,,7062,0,[custom]
C1,634,RamGeneralC1,DB_RAM_ECU,ai16PvgTorVoltageRangeValue,,32767,1,[custom]
C1,634,RamGeneralC1,DB_RAM_ECU,ai16PvgTorVoltageRangeValue,,32767,2,[custom]
C1,634,RamGeneralC1,DB_RAM_ECU,ai16PvgTorVoltageRangeValue,,32767,3,[custom]
C1,634,RamGeneralC1,DB_RAM_ECU,ai16PvgTorVoltageRangeValue,,32767,4,[custom]
C1,488,Ram48XsInputsC1,DB_RAM_ECU,boUpInclinaisonBasketButton,Up  Inclinaison basket button,0,0,[custom]
C1,557,Ram48XsInputsC1,DB_RAM_ECU,u16UpInclinaisonBasketButtonValue,Up  Inclinaison basket  button raw value,4995,0,[custom]
C1,489,Ram48XsInputsC1,DB_RAM_ECU,boDownInclinaisonBasketButton,Down  Inclinaison basket button,0,0,[custom]
C1,558,Ram48XsInputsC1,DB_RAM_ECU,u16DownInclinaisonBasketButtonValue,Down  Inclinaison basket button raw value,4995,0,[custom]
C1,490,Ram48XsInputsC1,DB_RAM_ECU,boUpPendularButton,Up pendular button,0,0,[custom]
C1,559,Ram48XsInputsC1,DB_RAM_ECU,u16UpPendularButtonValue,Up pendular button raw value,4995,0,[custom]
C1,491,Ram48XsInputsC1,DB_RAM_ECU,boDownPendularButton,Down pendular button,0,0,[custom]
C1,560,Ram48XsInputsC1,DB_RAM_ECU,u16DownPendularButtonValue,Down pendular button raw value,4995,0,[custom]
C1,492,Ram48XsInputsC1,DB_RAM_ECU,boRotationCtClockwiseBasketButton,Counter Clockwise rotation basket button,0,0,[custom]
C1,561,Ram48XsInputsC1,DB_RAM_ECU,u16RotCtClockwiseBasketButtonVal,Counter Clockwise rotation basket button raw value,4995,0,[custom]
C1,493,Ram48XsInputsC1,DB_RAM_ECU,boRotationClockwiseBasketButton,Clockwise rotation basket button,0,0,[custom]
C1,562,Ram48XsInputsC1,DB_RAM_ECU,u16RotationClockwiseBasketButtonVal,Clockwise rotation basket button raw value,4995,0,[custom]
C1,477,Ram48XsInputsC1,DB_RAM_ECU,boOverload1,Overload 1,0,0,[custom]
C1,563,Ram48XsInputsC1,DB_RAM_ECU,u16Overload1Value,Overload 1 raw value,0,0,[custom]
C1,478,Ram48XsInputsC1,DB_RAM_ECU,boOverload2,Overload 2,0,0,[custom]
C1,564,Ram48XsInputsC1,DB_RAM_ECU,u16Overload2Value,Overload 2 raw value,0,0,[custom]
C1,494,Ram48XsInputsC1,DB_RAM_ECU,boNacelleBasketRightSideSensor1,Nacelle basket right side sensor 1,1,0,[custom]
C1,565,Ram48XsInputsC1,DB_RAM_ECU,u16NacelleBasketRightSideSensor1Val,Nacelle basket right side sensor 1 value,4999,0,[custom]
C1,495,Ram48XsInputsC1,DB_RAM_ECU,boNacelleBasketRightSideSensor2,Nacelle basket right side sensor 2 value,0,0,[custom]
C1,566,Ram48XsInputsC1,DB_RAM_ECU,u16NacelleBasketRightSideSensor2Val,Nacelle basket right side sensor 2 value,0,0,[custom]
C1,496,Ram48XsInputsC1,DB_RAM_ECU,boNacelleBasketLeftSideSensor1,Nacelle basket left side sensor 1,0,0,[custom]
C1,567,Ram48XsInputsC1,DB_RAM_ECU,u16NacelleBasketLeftSideSensor1Val,Nacelle basket left side sensor 1 value,0,0,[custom]
C1,497,Ram48XsInputsC1,DB_RAM_ECU,boNacelleBasketLeftSideSensor2,Nacelle basket left side sensor 2,1,0,[custom]
C1,568,Ram48XsInputsC1,DB_RAM_ECU,u16NacelleBasketLeftSideSensor2Val,Nacelle basket left side sensor 2 value,4999,0,[custom]
C1,498,Ram48XsInputsC1,DB_RAM_ECU,boLowSectorPendularSensor,Low sector pendular sensor,1,0,[custom]
C1,569,Ram48XsInputsC1,DB_RAM_ECU,u16LowSectorPendularSensorVal,Low sector pendular sensor value,4999,0,[custom]
C1,499,Ram48XsInputsC1,DB_RAM_ECU,boHighSectorPlateSensor,High Sector Plate Sensor,0,0,[custom]
C1,570,Ram48XsInputsC1,DB_RAM_ECU,u16HighSectorPlateSensorVal,High Sector Plate Sensor value,0,0,[custom]
C1,510,Ram48XsInputsC1,DB_RAM_ECU,boFoldedLadderSensor,Folded ladder sensor,1,0,[custom]
C1,571,Ram48XsInputsC1,DB_RAM_ECU,u16FoldedLadderSensorVal,Folded ladder sensor value,4999,0,[custom]
C1,511,Ram48XsInputsC1,DB_RAM_ECU,u16SafetyManSystem,Safety man system value,1196,0,[custom]
C1,512,Ram48XsInputsC1,DB_RAM_ECU,u16DeltaArmAxisJoystick,Delta arm axis joystick value,6855,0,[custom]
C1,513,Ram48XsInputsC1,DB_RAM_ECU,u16ArrowArmAxisJoystick,Arrow arm axis joystick value,6855,0,[custom]
C1,514,Ram48XsInputsC1,DB_RAM_ECU,u16TelescopeArmAxisJoysitck,Telescope arm axis joystick value,6782,0,[custom]
C1,515,Ram48XsInputsC1,DB_RAM_ECU,u16RotationTurretAxisJoystick,Rotation turret axis joystick value,6796,0,[custom]
C1,516,Ram48XsInputsC1,DB_RAM_ECU,u16AdvanceAxisJoystick,Advance axis joystick value,6840,0,[custom]
C1,572,Ram48XsInputsC1,DB_RAM_ECU,boRearmementSafetyManSystem,Rearmement Safety Man System,0,0,[custom]
C1,479,Ram48XsInputsC1,DB_RAM_ECU,u16RearmementSafetyManSystemVal,Rearmement Safety Man System value,0,0,[custom]
C1,573,Ram48XsInputsC1,DB_RAM_ECU,boAbutementNacelleTrackSide,Abutement Nacelle Track Side,0,0,[custom]
C1,480,Ram48XsInputsC1,DB_RAM_ECU,u16AbutementNacelleTrackSideVal,Abutement Nacelle Track Side value,4995,0,[custom]
C1,574,Ram48XsInputsC1,DB_RAM_ECU,boAbutementNacelleCenteredSide,Abutement Nacelle Centered Side,0,0,[custom]
C1,481,Ram48XsInputsC1,DB_RAM_ECU,u16AbutementNacelleCenteredSideVal,Abutement Nacelle Centered Side value,4995,0,[custom]
C1,501,Ram48XsInputsC1,DB_RAM_ECU,boDeltaArmJystckCenteredTelescope,Delta arm Joystick value,0,0,[custom]
